canonical_name,alias,entity_type,english_name,abbreviation,notes
2D目标检测,2D目标检测,功能,2D Object Detection,,
3D CNN,3D CNN,技术,3D Convolutional Neural Network,3D CNN,
3D目标检测,3D目标检测,功能,3D Object Detection,,
4D成像毫米波雷达,4D成像毫米波雷达,设备,,,新增教材实体
4D成像毫米波雷达,4D毫米波成像雷达,设备,,,新增教材别名
BMS,BMS,技术,Battery Management System,BMS,
BM方法,BM方法,技术,Block Matching,BM,
C-V2X,C-V2X,技术,Cellular Vehicle-to-Everything,C-V2X,
CAN总线,CAN,技术,Controller Area Network,CAN,新增教材别名
CAN总线,CAN总线,技术,Controller Area Network,CAN,新增教材实体
CPU-GPU集群,CPU-GPU集群,设备,CPU-GPU Cluster,,
CRF-RNN,CRF-RNN,技术,CRF-RNN,,
CTDE范式,CTDE,类别,Centralized Training Decentralized Execution,CTDE,
CTDE范式,CTDE范式,类别,Centralized Training Decentralized Execution,CTDE,
CTDE范式,集中式训练-分布式执行,类别,Centralized Training Decentralized Execution,CTDE,
Caffe,Caffe,技术,Caffe,,
C合成,C合成,类别,C Synthesis,,
DAIR,DAIR,类别,,,
DAIR V2X,DAIR V2X,类别,,,
DQN,DQN,技术,Deep Q-Network,DQN,
DSP,DSP,设备,Digital Signal Processor,DSP,
DSRC,DSRC,技术,Dedicated Short Range Communication,DSRC,
EDA工具,EDA工具,技术,EDA Tool,EDA,
FPGA,FPGA,设备,Field Programmable Gate Array,FPGA,
FPGA加MCU的实现方案,FPGA加MCU的实现方案,技术,FPGA plus MCU Solution,,
FPGA加接口芯片的实现方法,FPGA加接口芯片的实现方法,技术,FPGA plus Interface Chip Solution,,
Fast R-CNN,Fast R-CNN,技术,Fast R-CNN,,
FlexRay协议,FlexRay,技术,FlexRay,FlexRay,新增教材实体
GPG工具,GPG工具,技术,GPG Tool,GPG,
GPS,GPS,设备,Global Positioning System,GPS,
GPU,GPU,设备,Graphics Processing Unit,GPU,
GPU计算解决方案,GPU计算解决方案,类别,,,补充：作为PX2的上位类别
HDL硬件描述语言,HDL硬件描述语言,技术,Hardware Description Language,HDL,
IMU定位系统,IMU,设备,Inertial Measurement Unit,IMU,新增教材别名
IMU定位系统,IMU定位系统,设备,Inertial Measurement Unit Localization System,IMU,
IMU定位系统,惯性传感器,设备,Inertial Measurement Unit,IMU,新增教材别名
KITTI数据集, KITTI,类别,KITTI Dataset,KITTI,
KITTI数据集,KITTI数据集,类别,KITTI Dataset,KITTI,
Keras,Keras,技术,Keras,,
LIN协议,LIN,技术,Local Interconnect Network,LIN,新增教材别名
LIN协议,LIN协议,技术,Local Interconnect Network,LIN,新增教材实体
MADDPG,MADDPG,技术,Multi-Agent Deep Deterministic Policy Gradient,MADDPG,
MAPPO,MAPPO,技术,Multi-Agent Proximal Policy Optimization,MAPPO,
MC-CNN,MC-CNN,技术,MC-CNN,,
MCU,MCU,设备,Microcontroller Unit,MCU,
MCU加接口芯片的实现方法,MCU加接口芯片的实现方法,技术,MCU plus Interface Chip Solution,,
MOST总线,MOST,技术,Media Oriented Systems Transport,MOST,新增教材别名
MOST总线,MOST总线,技术,Media Oriented Systems Transport,MOST,新增教材实体
MS-CNN,MS-CNN,技术,MS-CNN,,
PPO,PPO,技术,Proximal Policy Optimization,PPO,
PX2,PX2,设备,NVIDIA PX2,PX2,
Petri网,Petri网,技术,Petri Net,,
Petri网,拍趣网,技术,Petri Net,,
Q学习,Q-Learning,技术,Q-Learning,Q-Learning,
Q学习,Q学习,技术,Q-Learning,Q-Learning,
R-CNN,R-CNN,技术,R-CNN,,
ROS平台,ROS平台,技术,Robot Operating System,ROS,
RSA非对称加密方法,RSA非对称加密方法,技术,RSA Asymmetric Encryption,RSA,
Rope3D,Rope3D,类别,,,
SCNN,SCNN,技术,SCNN,SCNN,
SGBM方法,SGBM方法,技术,Semi-Global Block Matching,SGBM,
SOC,SOC,功能,State of Charge,SOC,
SOC估算,SOC估算,功能,,,补充：规范化SOC相关功能
SOC预测,SOC预测,功能,SOC Prediction,SOC,
SOC预测算法,SOC预测算法,类别,,,补充：SOC方法的上位类别
SOC预测网络,SOC预测网络,技术,SOC Prediction Network,,
SSH协议,SSH协议,技术,Secure Shell,SSH,
STM32处理器,STM32处理器,模块,STM32 Processor,STM32,
SVM,SVM,技术,Support Vector Machine,SVM,
Tensorflow,Tensorflow,技术,TensorFlow,,
Torch,Torch,技术,Torch,,
V2X-Seq,V2X-Seq,类别,,,
YOLOv5,YOLOv5,技术,YOLOv5,YOLOv5,
Zynq解决方案,Zynq解决方案,技术,Zynq Solution,Zynq,
三维信息,三维信息,功能,3D Information,,
三维描述,三维描述,功能,3D Description,,
三维物体检测数据集,三维物体检测数据集,类别,3D Object Detection Dataset,,
三角测量原理,三角测量原理,技术,Triangulation Principle,,
上下文信息,上下文信息,功能,Context Information,,
丢失状态,丢失状态,模块,Lost State,,
两段式算法,两段式算法,类别,Two-Stage Algorithm,,
丰田芝加哥技术研究院,丰田芝加哥技术研究院,场景,Toyota Technological Institute at Chicago,TTIC,
主动传感技术,主动传感技术,类别,Active Sensing Technology,,
二值语义分割,二值语义分割,技术,Binary Semantic Segmentation,,
云端平台系统,云端平台系统,模块,,,新增教材实体
交叉熵,交叉熵,功能,Cross Entropy,,
交通信号灯检测,交通信号灯检测,功能,Traffic Light Detection,,
交通标志分类,交通标志分类,功能,Traffic Sign Classification,,
交通标志检测,交通标志检测,功能,Traffic Sign Detection,,
交通标志识别系统,交通标志识别系统,技术,Traffic Sign Recognition System,,
人体动作识别,人体动作识别,功能,Human Action Recognition,,
人工智能算法基础,人工智能算法基础,类别,Artificial Intelligence Algorithm Foundation,,
人工神经网络,人工神经网络,技术,Artificial Neural Network,ANN,
