node_id,name,entity_type,raw_name,alias_count
node_87049f2b0984,2D目标检测,功能,2D目标检测,1
node_78796d45ef66,3D CNN,技术,3D CNN,1
node_9dddc2cc6352,3D目标检测,功能,3D目标检测,1
node_fd06839057a1,C-V2X,技术,C-V2X,1
node_be1d0626c84f,CAN总线,技术,CAN总线,2
node_97b4b1f743c9,CRF-RNN,技术,CRF-RNN,1
node_6a6fd3350ee8,CTDE范式,类别,CTDE范式,3
node_b8020ad68ba2,Caffe,技术,Caffe,1
node_8ca53ec8c2c0,DQN,技术,DQN,1
node_cef7f9bd3673,FPGA,设备,FPGA,1
node_e0207f5f2687,FPGA加MCU的实现方案,技术,FPGA加MCU的实现方案,1
node_721a377e0c90,FPGA加接口芯片的实现方法,技术,FPGA加接口芯片的实现方法,1
node_b78619cfe855,Fast R-CNN,技术,Fast R-CNN,1
node_65c5769b3276,FlexRay协议,技术,FlexRay协议,2
node_21552dc5a1bc,GPG工具,技术,GPG工具,1
node_1776fa32f23e,GPS,设备,GPS,1
node_26adf0f9d2a4,GPU计算解决方案,类别,GPU计算解决方案,1
node_e0ff3f9ec6dc,IMU定位系统,设备,IMU定位系统,3
node_90a8a79f016b,KITTI数据集,类别,KITTI数据集,2
node_86c7b897c9b7,Keras,技术,Keras,1
node_730789ef6710,LIN协议,技术,LIN协议,2
node_1c5ef6deca8d,MADDPG,技术,MADDPG,1
node_d5021f4748ff,MAPPO,技术,MAPPO,1
node_98bb0d0622de,MCU,设备,MCU,1
node_c315c8cbcb28,MCU加接口芯片的实现方法,技术,MCU加接口芯片的实现方法,1
node_361d42992828,MOST总线,技术,MOST总线,2
node_0f2525d91379,MS-CNN,技术,MS-CNN,1
node_f0a6dacedd48,MV3D,技术,MV3D,1
node_bf863777e6ef,PPO,技术,PPO,1
node_e6797fd4fd08,PX2,设备,PX2,1
node_9bb185a316ca,Q学习,技术,Q学习,2
node_2ef4687b8901,R-CNN,技术,R-CNN,1
node_06416897d67f,ROS平台,技术,ROS平台,4
node_91440a66208a,RSA非对称加密方法,技术,RSA非对称加密方法,1
node_d34ff1fb79a9,SOC估算,功能,SOC估算,1
node_c1b4ec2e4eb3,SOC预测,功能,SOC预测,1
node_139c75f21093,SOC预测算法,类别,SOC预测算法,1
node_57ee2e07b4d3,SOC预测网络,技术,SOC预测网络,1
node_13ed4290ae0c,STM32处理器,模块,STM32处理器,1
node_6b4a8910498e,SVM,技术,SVM,1
node_dbe8ffecaaed,Tensorflow,技术,Tensorflow,1
node_917904ac8c83,Torch,技术,Torch,1
node_8ca7a00bb4f5,YOLOv5,技术,YOLOv5,1
node_c8d28795bc0b,Zynq解决方案,技术,Zynq解决方案,1
node_71012bd83972,三维物体检测数据集,类别,三维物体检测数据集,1
node_f4da6a9be189,两段式算法,类别,两段式算法,1
node_ed4e83b979d0,云端平台,模块,云端平台,1
node_272a7f9f40ee,云端平台系统,模块,云端平台系统,1
node_a529bd692d16,人体动作识别,功能,人体动作识别,1
node_9824a7dbd042,人工神经网络,技术,人工神经网络,1
node_d656b499d0a8,人脸识别,功能,人脸识别,1
